City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Jacksonville,US,30.3322,-81.6556,83.25,70,40,10.36,scattered clouds
157,Caravelas,BR,-17.7125,-39.2481,78.39,84,0,10.45,clear sky
158,Nelson Bay,AU,-32.7167,152.15,66.11,95,62,1.01,light rain
159,Port Blair,IN,11.6667,92.75,80.64,83,75,2.3,mist
160,Aklavik,CA,68.2191,-135.0107,30.43,80,100,13.56,overcast clouds
161,Touros,BR,-5.1989,-35.4608,76.39,92,100,10.96,light rain
162,Palu,ID,-0.8917,119.8707,87.73,64,90,0.58,overcast clouds
163,Batagay-Alyta,RU,67.8006,130.4114,19.0,80,100,0.94,overcast clouds
164,Bethel,US,41.3712,-73.414,59.76,85,100,4.61,overcast clouds
165,Ambovombe,MG,-25.1667,46.0833,67.51,89,51,9.26,broken clouds
166,Clyde River,CA,70.4692,-68.5914,17.83,73,40,11.5,scattered clouds
167,Nanchang,CN,28.6833,115.8833,74.73,53,0,2.48,clear sky
168,Kuytun,RU,54.3419,101.5036,38.66,54,7,8.75,clear sky
169,San Carlos,VE,9.6612,-68.5827,85.98,50,56,4.7,broken clouds
170,Cabo San Lucas,MX,22.8909,-109.9124,81.61,50,0,6.91,clear sky
171,Cascais,PT,38.6979,-9.4215,65.05,52,3,11.01,clear sky
172,New Norfolk,AU,-42.7826,147.0587,55.92,65,47,2.57,scattered clouds
173,Tlanchinol,MX,20.9833,-98.65,70.97,71,68,4.61,broken clouds
174,Sorland,NO,67.667,12.6934,35.1,99,100,25.3,light snow
175,Kaabong,UG,3.4836,34.1492,63.25,84,7,5.64,clear sky
176,Avrille,FR,47.5,-0.5833,48.76,81,12,6.06,few clouds
177,Mareeba,AU,-17.0,145.4333,81.48,80,0,3.71,clear sky
178,Port Hawkesbury,CA,45.6169,-61.3485,48.81,85,100,8.05,moderate rain
179,Balikpapan,ID,-1.2675,116.8289,77.99,100,20,3.44,few clouds
180,Navirai,BR,-23.065,-54.1906,57.74,92,100,4.32,overcast clouds
181,Saint George,US,37.1041,-113.5841,78.26,20,0,8.05,clear sky
182,Jamestown,US,42.097,-79.2353,53.19,93,100,6.91,overcast clouds
183,Poum,NC,-20.2333,164.0167,78.85,78,13,7.56,few clouds
184,Cherskiy,RU,68.75,161.3,32.94,100,100,4.18,overcast clouds
185,Barrow,US,71.2906,-156.7887,15.82,79,100,14.97,overcast clouds
186,Tombouctou,ML,20.0,-3.0,87.71,19,75,6.6,broken clouds
187,Katsuura,JP,35.1333,140.3,68.31,71,100,12.24,overcast clouds
188,Plettenberg Bay,ZA,-34.0527,23.3716,62.65,83,100,1.52,overcast clouds
189,Ocampo,MX,21.65,-101.5,75.4,16,84,10.69,broken clouds
190,Luderitz,NA,-26.6481,15.1594,68.72,47,0,3.15,clear sky
191,College,US,64.8569,-147.8028,55.99,34,75,8.05,shower rain
192,Muros,ES,42.7762,-9.0603,57.09,75,36,12.35,scattered clouds
193,Maniitsoq,GL,65.4167,-52.9,16.23,83,33,9.24,scattered clouds
194,Batemans Bay,AU,-35.7167,150.1833,64.09,89,86,6.33,overcast clouds
195,Dudinka,RU,69.4058,86.1778,34.63,99,100,20.87,snow
196,Aquiraz,BR,-3.9014,-38.3911,74.17,86,100,7.78,overcast clouds
197,Taunggyi,MM,20.7833,97.0333,66.43,76,47,3.49,scattered clouds
198,Udachnyy,RU,66.4167,112.4,28.45,53,100,14.43,overcast clouds
199,Mount Pleasant,US,32.7941,-79.8626,78.01,79,0,6.91,clear sky
200,Salina Cruz,MX,16.1667,-95.2,84.9,67,97,11.18,overcast clouds
201,Severo-Kurilsk,RU,50.6789,156.125,35.6,89,80,7.54,broken clouds
202,Mafinga,TZ,-7.25,35.0667,61.48,77,22,3.56,few clouds
203,Vestmannaeyjar,IS,63.4427,-20.2734,39.31,61,100,3.02,overcast clouds
204,Balkanabat,TM,39.5108,54.3671,67.59,58,3,4.23,clear sky
205,Kavieng,PG,-2.5744,150.7967,84.9,73,98,13.31,moderate rain
206,Itoman,JP,26.1247,127.6694,73.42,88,75,10.36,moderate rain
207,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.03,87,64,9.13,broken clouds
208,Mana,GF,5.6592,-53.7767,75.58,92,100,3.38,overcast clouds
209,Saskylakh,RU,71.9167,114.0833,26.65,92,100,5.82,overcast clouds
210,Airai,TL,-8.9266,125.4092,72.54,59,100,3.4,overcast clouds
211,High Level,CA,58.5169,-117.136,62.71,27,75,12.66,broken clouds
212,Okhotsk,RU,59.3833,143.3,32.52,89,100,12.59,overcast clouds
213,Gra Liyia,GR,35.0167,25.6833,63.12,42,1,14.0,clear sky
214,Flin Flon,CA,54.7682,-101.865,33.55,98,100,6.6,overcast clouds
215,Lasa,IT,46.6166,10.7002,49.08,92,50,0.65,scattered clouds
216,Kupang,ID,-10.1667,123.5833,83.41,75,93,7.92,overcast clouds
217,Thompson,CA,55.7435,-97.8558,32.16,69,100,4.61,overcast clouds
218,Abiramam,IN,9.4667,78.45,84.85,59,100,6.64,overcast clouds
219,Eydhafushi,MV,5.1033,73.0708,84.67,74,100,16.22,overcast clouds
220,Inhambane,MZ,-23.865,35.3833,67.64,86,18,5.59,few clouds
221,Fort Saint James,CA,54.4333,-124.25,50.88,49,100,4.32,overcast clouds
222,Mehamn,NO,71.0357,27.8492,21.92,69,94,4.79,overcast clouds
223,Cheyenne,US,41.14,-104.8203,46.54,84,100,4.0,overcast clouds
224,Tarakan,ID,3.3,117.6333,81.9,83,75,6.91,light rain
225,Sibolga,ID,1.7427,98.7792,79.34,83,100,1.36,overcast clouds
226,Tuam,IE,53.5167,-8.85,48.18,98,100,6.17,overcast clouds
227,Makasar,ID,-5.14,119.4221,82.45,89,20,3.44,few clouds
228,Cairns,AU,-16.9167,145.7667,86.11,72,1,9.22,clear sky
229,Turukhansk,RU,65.8167,87.9833,35.1,85,100,25.66,light snow
230,Kearney,US,40.6995,-99.0815,46.96,93,100,10.36,overcast clouds
231,Roebourne,AU,-20.7833,117.1333,77.81,37,0,25.34,clear sky
232,Teknaf,BD,20.8624,92.3058,80.44,70,0,4.09,clear sky
233,Buluang,PH,13.3068,123.3425,88.16,58,15,3.31,few clouds
234,Mackay,AU,-21.15,149.2,82.69,78,75,9.22,broken clouds
235,Milkovo,RU,54.7167,158.6167,45.21,56,57,0.67,broken clouds
236,Mirabad,AF,30.4362,61.8383,79.79,23,0,5.08,clear sky
237,Ambanja,MG,-13.6833,48.45,70.02,86,8,4.56,clear sky
238,Shache,CN,38.4167,77.2406,66.7,22,100,6.53,overcast clouds
239,Taoudenni,ML,22.6783,-3.9836,86.97,13,70,8.95,broken clouds
240,Nome,US,64.5011,-165.4064,42.17,75,0,8.05,clear sky
241,Arlit,NE,18.7369,7.3853,87.31,8,10,8.81,clear sky
242,Havelock,US,34.8791,-76.9013,75.18,89,0,16.11,thunderstorm
243,Funadhoo,MV,6.15,73.2667,84.74,73,100,15.57,overcast clouds
244,Lompoc,US,34.6391,-120.4579,84.02,66,0,14.97,clear sky
245,Chuguyevka,RU,44.1653,133.8633,68.52,37,6,5.55,clear sky
246,Buala,SB,-8.145,159.5921,85.12,68,44,4.21,scattered clouds
247,Fortuna,US,40.5982,-124.1573,59.94,80,40,13.8,scattered clouds
248,Virginia Beach,US,36.8529,-75.978,72.05,94,100,18.41,thunderstorm
249,Natal,BR,-5.795,-35.2094,79.02,94,20,6.91,thunderstorm
250,Bakel,SN,14.905,-12.4568,89.06,18,6,8.66,clear sky
251,Puerto Escondido,MX,15.85,-97.0667,83.23,78,0,8.05,clear sky
252,Sorong,ID,-0.8833,131.25,83.08,76,98,4.88,overcast clouds
253,Ostersund,SE,63.1792,14.6357,37.85,70,94,8.05,overcast clouds
254,Ryazan,RU,54.6197,39.74,31.35,87,9,8.21,clear sky
255,Alburikent,RU,42.9733,47.4724,45.93,76,8,7.83,clear sky
256,Evensk,RU,61.95,159.2333,33.06,84,98,9.37,overcast clouds
257,Podporozhye,RU,60.9112,34.1706,29.91,78,100,3.96,overcast clouds
